episode,timestep,reward
11,2000,0.1252
26,4000,0.4036
46,6000,0.5097
60,8000,0.3728
82,10000,0.4216
109,12000,0.4477
150,14000,0.5415
186,16000,0.5056
226,18000,0.5048
274,20000,0.3796
319,22000,0.5819
365,24000,0.6998
415,26000,0.7643
464,28000,0.6979
535,30000,0.8482
614,32000,0.9012
712,34000,0.9202
828,36000,0.9586
962,38000,0.9791
1099,40000,0.9577
1293,42000,0.9907
1481,44000,0.9852
1736,46000,0.9929
1983,48000,0.9927
2286,50000,0.9908
