episode,timestep,reward
11,2000,0.3979
26,4000,0.4036
47,6000,0.7246
67,8000,0.36
100,10000,0.6754
128,12000,0.7168
177,14000,0.9024
212,16000,0.9232
284,18000,0.9737
349,20000,0.9718
448,22000,0.9818
568,24000,0.9686
730,26000,0.9826
890,28000,0.9825
1128,30000,0.9924
1369,32000,0.9926
1657,34000,0.9937
1952,36000,0.9939
2275,38000,0.9944
2593,40000,0.9943
