episode,timestep,reward
11,2000,0.307
26,4000,0.3369
42,6000,0.4516
59,8000,0.7145
89,10000,0.777
110,12000,0.8664
143,14000,0.9128
170,16000,0.7851
213,18000,0.9349
265,20000,0.8884
321,22000,0.916
383,24000,0.9529
483,26000,0.982
569,28000,0.9792
708,30000,0.987
840,32000,0.9863
1031,34000,0.9906
1228,36000,0.9908
1461,38000,0.9923
1703,40000,0.9926
